,RATE A,,RATE B,,RATE C,
06/09/2568 00.30,,,,,240,
06/09/2568 00.45,,,,,232,
06/09/2568 01.00,,,,,232,
06/09/2568 01.15,,,,,248,
06/09/2568 01.30,,,,,264,
06/09/2568 01.45,,,,,264,
06/09/2568 02.00,,,,,264,
06/09/2568 02.15,,,,,264,
06/09/2568 02.30,,,,,264,
06/09/2568 02.45,,,,,264,
06/09/2568 03.00,,,,,256,
06/09/2568 03.15,,,,,248,
06/09/2568 03.30,,,,,256,
06/09/2568 03.45,,,,,248,
06/09/2568 04.00,,,,,248,
06/09/2568 04.15,,,,,240,
06/09/2568 04.30,,,,,232,
06/09/2568 04.45,,,,,240,
06/09/2568 05.00,,,,,232,
06/09/2568 05.15,,,,,224,
06/09/2568 05.30,,,,,224,
06/09/2568 05.45,,,,,224,
06/09/2568 06.00,,,,,240,
06/09/2568 06.15,,,,,240,
06/09/2568 06.30,,,,,240,
06/09/2568 06.45,,,,,232,
06/09/2568 07.00,,,,,232,
06/09/2568 07.15,,,,,224,
06/09/2568 07.30,,,,,224,
06/09/2568 07.45,,,,,224,
06/09/2568 08.00,,,,,232,
06/09/2568 08.15,,,,,312,
06/09/2568 08.30,,,,,368,
06/09/2568 08.45,,,,,400,
06/09/2568 09.00,,,,,440,
06/09/2568 09.15,,,,,496,
06/09/2568 09.30,,,,,544,
06/09/2568 09.45,,,,,576,
06/09/2568 10.00,,,,,544,
06/09/2568 10.15,,,,,456,
06/09/2568 10.30,,,,,528,
06/09/2568 10.45,,,,,576,
06/09/2568 11.00,,,,,568,
06/09/2568 11.15,,,,,568,
06/09/2568 11.30,,,,,536,
06/09/2568 11.45,,,,,480,
06/09/2568 12.00,,,,,408,
06/09/2568 12.15,,,,,368,
06/09/2568 12.30,,,,,376,
06/09/2568 12.45,,,,,376,
06/09/2568 13.00,,,,,384,
06/09/2568 13.15,,,,,456,
06/09/2568 13.30,,,,,544,
06/09/2568 13.45,,,,,528,
06/09/2568 14.00,,,,,536,
06/09/2568 14.15,,,,,544,
06/09/2568 14.30,,,,,544,
06/09/2568 14.45,,,,,520,
06/09/2568 15.00,,,,,496,
06/09/2568 15.15,,,,,440,
06/09/2568 15.30,,,,,488,
06/09/2568 15.45,,,,,504,
06/09/2568 16.00,,,,,496,
06/09/2568 16.15,,,,,480,
06/09/2568 16.30,,,,,472,
06/09/2568 16.45,,,,,440,
06/09/2568 17.00,,,,,320,
06/09/2568 17.15,,,,,264,
06/09/2568 17.30,,,,,272,
06/09/2568 17.45,,,,,328,
06/09/2568 18.00,,,,,376,
06/09/2568 18.15,,,,,368,
06/09/2568 18.30,,,,,368,
06/09/2568 18.45,,,,,352,
06/09/2568 19.00,,,,,336,
06/09/2568 19.15,,,,,328,
06/09/2568 19.30,,,,,320,
06/09/2568 19.45,,,,,320,
06/09/2568 20.00,,,,,312,
06/09/2568 20.15,,,,,312,
06/09/2568 20.30,,,,,312,
06/09/2568 20.45,,,,,304,
06/09/2568 21.00,,,,,296,
06/09/2568 21.15,,,,,296,
06/09/2568 21.30,,,,,288,
06/09/2568 21.45,,,,,280,
06/09/2568 22.00,,,,,264,
06/09/2568 22.15,,,,,264,
06/09/2568 22.30,,,,,256,
06/09/2568 22.45,,,,,256,
06/09/2568 23.00,,,,,256,
06/09/2568 23.15,,,,,256,
06/09/2568 23.30,,,,,248,
06/09/2568 23.45,,,,,240,
06/09/2568 24.00,,,,,232,
